,0
ID0,0.0
ID1,0.0
ID2,0.0
ID3,0.0
ID4,0.0
ID5,0.0
ID6,0.37525377575872493
ID7,0.49464486157146115
ID8,0.45442321529871194
ID9,0.3381847462864497
ID10,0.4849926684590479
ID11,0.4999814147256146
ID12,0.49976347766391854
ID13,0.3942016688082239
ID14,0.49444588661281846
ID15,0.49901791891527547
ID16,0.49887675612503635
DATA_00,0.0
DATA_01,0.0
DATA_02,0.0
DATA_03,0.0
DATA_04,0.0
DATA_05,0.0
DATA_06,0.0
DATA_07,0.0
DATA_08,0.0
DATA_09,0.41628559901118206
DATA_010,0.47530702490010784
DATA_011,0.46570151239932095
DATA_012,0.4719739443550042
DATA_013,0.4642776200675174
DATA_014,0.48470590864740837
DATA_015,0.46657301442751187
DATA_016,0.45659589687102964
DATA_10,0.0
DATA_11,0.0
DATA_12,0.0
DATA_13,0.0
DATA_14,0.0
DATA_15,0.0
DATA_16,0.0
DATA_17,0.0
DATA_18,0.0
DATA_19,0.4513172074363824
DATA_110,0.42922006904027554
DATA_111,0.45219248872771994
DATA_112,0.4324419799190984
DATA_113,0.4650398958189076
DATA_114,0.477272628809849
DATA_115,0.4495867109186899
DATA_116,0.45965316273081386
DATA_20,0.0
DATA_21,0.0
DATA_22,0.0
DATA_23,0.0
DATA_24,0.0
DATA_25,0.0
DATA_26,0.0
DATA_27,0.0
DATA_28,0.0
DATA_29,0.3730939872418394
DATA_210,0.422048841686223
DATA_211,0.46169591711823327
DATA_212,0.43580610204877823
DATA_213,0.4728667861076002
DATA_214,0.4624082263023619
DATA_215,0.46175113934794904
DATA_216,0.47070493004248964
DATA_30,0.0
DATA_31,0.0
DATA_32,0.0
DATA_33,0.0
DATA_34,0.0
DATA_35,0.0
DATA_36,0.0
DATA_37,0.0
DATA_38,0.0
DATA_39,0.3938902700515423
DATA_310,0.43793670087820996
DATA_311,0.4252315438592836
DATA_312,0.45442507768636775
DATA_313,0.4429641463167653
DATA_314,0.4540086784006359
DATA_315,0.4420408837397657
DATA_316,0.44754370676652794
DATA_40,0.0
DATA_41,0.0
DATA_42,0.0
DATA_43,0.0
DATA_44,0.0
DATA_45,0.0
DATA_46,0.0
DATA_47,0.0
DATA_48,0.0
DATA_49,0.3200774071523311
DATA_410,0.4369121790644243
DATA_411,0.38829998111954606
DATA_412,0.4249343767448931
DATA_413,0.434347470454089
DATA_414,0.4593812229093704
DATA_415,0.49029252085135094
DATA_416,0.46541222359262
DATA_50,0.0
DATA_51,0.0
DATA_52,0.0
DATA_53,0.0
DATA_54,0.0
DATA_55,0.0
DATA_56,0.0
DATA_57,0.0
DATA_58,0.0
DATA_59,0.37905817977043205
DATA_510,0.43168454247791976
DATA_511,0.42069388670550467
DATA_512,0.4197874501560098
DATA_513,0.4611828764236873
DATA_514,0.46387977735600633
DATA_515,0.4737675611364775
DATA_516,0.4899583217818402
DATA_60,0.0
DATA_61,0.0
DATA_62,0.0
DATA_63,0.0
DATA_64,0.0
DATA_65,0.0
DATA_66,0.0
DATA_67,0.0
DATA_68,0.0
DATA_69,0.4417255920810387
DATA_610,0.45795527298269173
DATA_611,0.46909944758617755
DATA_612,0.4274682464026855
DATA_613,0.4534832179832363
DATA_614,0.42496519630334234
DATA_615,0.47873571842513685
DATA_616,0.45965576833523636
DATA_70,0.0
DATA_71,0.0
DATA_72,0.0
DATA_73,0.0
DATA_74,0.0
DATA_75,0.0
DATA_76,0.0
DATA_77,0.0
DATA_78,0.0
DATA_79,0.41487332693048723
DATA_710,0.4375783837814481
DATA_711,0.43398473685303723
DATA_712,0.4356559447605021
DATA_713,0.4172444275156446
DATA_714,0.41438792311429673
DATA_715,0.426651644262384
DATA_716,0.4210478434245454
